DATOS
NOMBRE FICHERO = E:\1_proyectos\UVA\U0004_caja_sensores\Software\PASCAL\datos_medicion.dat
NOMBRE FICHERO SETUP = inicioO2.stp
DIA y HORA = 15/11/2021 10:58:40
HORA ; TIEMPO TEST ; SENSOR ; O2 ; TEMP ; PRESION ; O2% ; ERROR
11:53:18;000:12;004;0199,4;+20,9;0992;020,10;0000
11:53:18;000:12;005;0197,6;+22,2;0994;019,88;0000
11:53:19;000:12;006;0198,2;+22,1;0993;019,96;0000
11:53:19;000:12;007;0193,5;+19,1;0993;019,49;0000
11:53:19;000:13;008;0195,4;+18,9;0993;019,68;0000
11:53:20;000:14;001;0198,3;+21,7;0994;019,95;0000
11:53:20;000:14;002;0199,0;+20,5;0994;020,02;0000
11:53:21;000:14;003;0195,8;+19,0;0993;019,72;0000
11:53:21;000:14;004;0199,4;+20,9;0992;020,10;0000
11:53:21;000:14;005;0197,6;+22,2;0994;019,88;0000
11:53:21;000:15;006;0198,2;+22,0;0993;019,96;0000
11:53:21;000:15;007;0193,5;+19,1;0993;019,49;0000
11:53:21;000:15;008;0195,4;+19,0;0993;019,68;0000
11:53:22;000:16;001;0198,3;+21,7;0994;019,95;0000
11:53:22;000:16;002;0199,0;+20,6;0994;020,02;0000
11:53:23;000:16;003;0195,8;+19,1;0993;019,72;0000
11:53:23;000:16;004;0199,3;+21,0;0992;020,10;0000
11:53:23;000:17;005;0197,6;+22,2;0994;019,88;0000
11:53:23;000:17;006;0198,2;+22,1;0993;019,96;0000
11:53:23;000:17;007;0193,5;+19,1;0993;019,49;0000
11:53:23;000:17;008;0195,4;+19,1;0993;019,68;0000
11:53:25;000:18;001;0198,3;+21,7;0994;019,95;0000
11:53:25;000:18;002;0199,0;+20,6;0994;020,02;0000
11:53:25;000:19;003;0195,8;+19,1;0993;019,72;0000
11:53:25;000:19;004;0199,3;+21,0;0992;020,09;0000
11:53:25;000:19;005;0197,6;+22,3;0994;019,88;0000
11:53:25;000:19;006;0198,1;+22,1;0993;019,96;0000
11:53:25;000:19;007;0193,5;+19,1;0993;019,49;0000
11:53:25;000:19;008;0195,4;+19,0;0993;019,68;0000
12:58:20;000:01;009;0198,0;+21,4;0995;019,90;0000
12:58:20;000:01;011;0195,5;+18,1;0994;019,67;0000
12:58:22;000:03;009;0198,0;+21,4;0995;019,90;0000
12:58:22;000:03;011;0195,5;+18,2;0994;019,67;0000
10:30:15;000:01;009;0199,3;+20,5;0998;019,97;0000
10:30:15;000:01;011;0196,4;+17,5;0997;019,70;0000
10:30:17;000:03;009;0199,3;+20,6;0997;019,99;0000
10:30:17;000:03;011;0196,4;+17,5;0997;019,70;0000
10:30:20;000:05;009;0199,3;+20,6;0998;019,97;0000
10:30:20;000:06;011;0196,4;+17,5;0997;019,70;0000
10:30:22;000:08;009;0199,3;+20,6;0998;019,97;0000
10:30:22;000:08;011;0196,4;+17,5;0997;019,70;0000
10:31:27;000:01;009;0199,2;+20,6;0998;019,96;0000
10:31:27;000:01;011;0196,3;+17,6;0997;019,69;0000
10:31:29;000:03;009;0199,2;+20,6;0997;019,98;0000
10:31:29;000:03;011;0196,3;+17,6;0997;019,69;0000
10:31:31;000:05;009;0199,2;+20,7;0998;019,96;0000
10:31:31;000:05;011;0196,3;+17,7;0997;019,69;0000
10:31:33;000:07;009;0199,2;+20,7;0998;019,96;0000
10:31:33;000:07;011;0196,3;+17,7;0997;019,69;0000
10:37:29;000:00;009;0200,1;+20,5;0000;000,00;0000
10:37:30;000:00;011;0197,1;+17,5;0000;000,00;0000
10:37:31;000:01;009;0200,1;+20,5;0998;020,05;0000
10:37:31;000:02;011;0197,1;+17,5;0997;019,77;0000
10:37:33;000:04;009;0200,1;+20,5;0998;020,05;0000
10:37:33;000:04;011;0197,1;+17,5;0997;019,77;0000
10:37:35;000:05;009;0200,1;+20,6;0998;020,05;0000
10:37:35;000:06;011;0197,1;+17,6;0997;019,77;0000
10:37:37;000:08;009;0200,1;+20,5;0998;020,05;0000
10:37:37;000:08;011;0197,1;+17,6;0997;019,77;0000
10:37:39;000:10;009;0200,1;+20,6;0998;020,05;0000
10:37:39;000:10;011;0197,1;+17,6;0997;019,77;0000
10:37:41;000:12;009;0200,1;+20,6;0998;020,05;0000
10:37:41;000:12;011;0197,1;+17,6;0997;019,77;0000
10:37:43;000:14;009;0200,1;+20,6;0998;020,05;0000
10:37:43;000:14;011;0197,1;+17,6;0997;019,77;0000
10:37:45;000:16;009;0200,0;+20,6;0998;020,04;0000
10:37:46;000:16;011;0197,1;+17,7;0997;019,77;0000
18:47:56;000:01;009;0194,7;+23,6;0998;019,51;0000
18:47:56;000:01;010;0198,2;+26,8;0999;019,84;0000
18:47:58;000:03;009;0194,7;+23,6;0997;019,53;0000
18:47:58;000:03;010;0198,2;+26,8;0999;019,84;0000
18:48:00;000:05;009;0194,7;+23,6;0997;019,53;0000
18:48:00;000:05;010;0198,2;+26,6;0998;019,86;0000
18:48:35;000:00;009;0195,1;+23,5;0000;000,00;0000
18:48:35;000:00;010;0198,7;+26,5;0000;000,00;0000
18:48:37;000:02;009;0195,1;+23,4;0997;019,57;0000
18:48:37;000:02;010;0198,7;+26,5;0998;019,91;0000
18:48:40;000:04;009;0195,0;+23,5;0997;019,57;0000
18:48:40;000:04;010;0198,7;+26,5;0998;019,91;0000
18:48:42;000:06;009;0195,0;+23,5;0997;019,56;0000
18:48:42;000:06;010;0198,7;+26,5;0998;019,91;0000
18:48:44;000:08;009;0195,0;+23,5;0997;019,56;0000
18:48:44;000:09;010;0198,7;+26,5;0998;019,91;0000
18:48:46;000:11;009;0195,0;+23,5;0997;019,56;0000
18:48:46;000:11;010;0198,6;+26,5;0998;019,90;0000
18:48:48;000:13;009;0195,0;+23,5;0997;019,56;0000
18:48:48;000:13;010;0198,6;+26,5;0998;019,90;0000
18:48:50;000:15;009;0195,0;+23,5;0997;019,56;0000
18:48:50;000:15;010;0198,6;+26,5;0998;019,90;0000
18:48:52;000:17;009;0194,9;+23,6;0998;019,53;0000
18:48:52;000:17;010;0198,5;+26,5;0998;019,90;0000
18:49:11;000:00;009;0194,7;+23,5;0000;000,00;0000
18:49:11;000:00;010;0198,3;+26,4;0000;000,00;0000
18:49:13;000:02;009;0194,7;+23,4;0998;019,51;0000
18:49:13;000:02;010;0198,3;+26,3;0999;019,85;0000
18:49:15;000:04;009;0194,7;+23,4;0998;019,51;0000
18:49:15;000:04;010;0198,3;+26,3;0998;019,87;0000
18:59:41;000:00;009;0194,1;+22,9;0998;019,45;0000
18:59:41;000:00;010;0196,9;+26,5;0999;019,71;0000
18:59:43;000:02;009;0194,1;+22,9;0998;019,45;0000
18:59:43;000:02;010;0196,9;+26,5;0999;019,71;0000
18:59:45;000:04;009;0194,1;+22,9;0998;019,45;0000
18:59:45;000:05;010;0196,9;+26,5;0999;019,71;0000
18:59:47;000:07;009;0194,1;+23,0;0998;019,45;0000
18:59:47;000:07;010;0196,9;+26,5;0999;019,71;0000
18:59:49;000:09;009;0194,1;+23,0;0998;019,45;0000
18:59:49;000:09;010;0196,9;+26,5;0999;019,71;0000
18:59:52;000:11;009;0194,1;+22,9;0998;019,45;0000
18:59:52;000:11;010;0196,9;+26,5;0999;019,71;0000
19:09:20;000:01;009;0176,9;+23,3;0998;017,64;0000
19:09:20;000:01;010;0185,1;+27,0;0999;018,48;0000
19:09:22;000:03;009;0180,4;+23,5;0998;017,99;0000
19:09:22;000:03;010;0186,0;+27,0;0999;018,57;0000
19:09:56;000:00;009;0171,1;+24,4;0998;017,14;0000
19:09:56;000:00;010;0185,9;+27,9;0999;018,61;0000
19:09:58;000:02;009;0174,6;+24,4;0998;017,21;0000
19:09:58;000:02;010;0186,7;+28,0;0999;018,65;0000
19:10:00;000:04;009;0178,0;+24,6;0998;017,75;0000
19:10:00;000:04;010;0187,7;+28,0;0999;018,74;0000
19:10:02;000:06;009;0181,3;+24,6;0998;018,09;0000
19:10:02;000:06;010;0188,6;+28,1;0999;018,84;0000
19:10:20;000:01;009;0182,3;+25,1;0998;018,26;0000
19:10:20;000:01;010;0182,2;+28,4;0999;018,23;0000
19:10:22;000:03;009;0183,2;+25,2;0998;018,31;0000
19:10:22;000:03;010;0183,3;+28,4;0999;018,28;0000
19:10:24;000:05;009;0184,3;+25,2;0998;018,41;0000
19:10:25;000:05;010;0184,7;+28,5;0999;018,42;0000
19:10:27;000:07;009;0185,4;+25,2;0998;018,52;0000
19:10:27;000:07;010;0186,3;+28,4;0999;018,57;0000
19:10:29;000:09;009;0186,3;+25,3;0998;018,63;0000
19:10:29;000:09;010;0187,7;+28,5;0999;018,73;0000
